Hub State Indicator,Rowid Object,Prop Nm,Prop Area,Rjct Rsn Txt,Reject Record Status,MDM_PROP_ID,Src Geo Loc Typ,Geo Lat,Geo Long,Prim Ind,Conf Wght,Addr Line1,City Nm,County Id,State Prov Id,Postal Code,Country Id,Country Iso2,Country Iso3,Country Iso3 Id,Addr Status,Adr Mail Scr
1,4480195,Han Hai International Building,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Han Hai International Building, Source Complete Address: Suzhou Street; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 1+1大厦（瀚海国际大厦）, Source Complete Address: 苏州街; 北京; 中国",Ready For Review,T4480195,,,,,,Suzhou Street,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480196,Citic Tower,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Citic Tower, Source Complete Address: Beijing Core CBD Area Z15; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 中国尊, Source Complete Address: 北京CBD核心区Z15; 北京; 中国",Ready For Review,T4480196,,,,,,Cbd Area,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480197,Jingu Central Tower,,"Addr_Line_1 Not In Standard Format -- Source Property Name: 金谷中环大厦, Source Complete Address: 江场路1313号; 上海; 中国",Ready For Review,T4480197,,,,,,1313 Jiangchang Road,Shanghai,,Shanghai,200072,China,CN,CHN,156,INVALID,3
1,4480198,Cyts Plaza,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Cyts Plaza, Source Complete Address: 5 Dongzhimen Nandajie; Beijing; China",Ready For Review,T4480198,,,,,,5 Dongzhimen Nandajie,Beijing,,Beijing,100010,China,CN,CHN,156,INVALID,2
1,4480199,Vision Park Phase 2 Tower 5,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Vision Park Phase 2 Tower 5, Source Complete Address: South Gaoxin Road; Shenzhen; China|Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: 威新软件科技园二期5号楼, Source Complete Address: 深圳; 中国",Ready For Review,T4480199,,,,,,South Gaoxin Road,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
1,4480200,Sunsco Technology Building,,"Address_Line1 contains ""&"" or ""&Amp"";Addr_Line_1 Not In Standard Format -- Source Property Name: Sunsco Technology Building, Source Complete Address: Intersection of Keji Nan Road & Gaoxinnan Si Road, Hi-tech Park; Shenzhen; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 泰邦科技大厦, Source Complete Address: 高新科技园科技南路与高新南4路交汇处; 深圳; 中国",Ready For Review,T4480200,,,,,,Intersection of Keji Nan Road & Gaoxinnan Si Road Hi-Tech Park,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
1,4480201,Yuexiu Metropolis,,"Addr_Line_1 Not In Standard Format -- Source Property Name: 越秀新都会, Source Complete Address: 中山六路232-238号; 广州; 中国",Ready For Review,T4480201,,,,,,232-238 Zhongshan Sixth Road,Guangzhou,,Guangdong,510180,China,CN,CHN,156,INVALID,3
1,4480202,Tops Electronics Plaza (Ding Hao),,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: 鼎好电子大厦, Source Complete Address: 北京; 中国",Ready For Review,T4480202,,,,,,3 Haidian South Road,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480203,Sohu Network Building,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Sohu Network Building, Source Complete Address: East  Zhongguancun Road; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 搜狐网络大厦, Source Complete Address: 中关村东路; 北京; 中国",Ready For Review,T4480203,,,,,,East Zhongguancun Road,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480204,East Tower,,"Addr_Line_1 Not In Standard Format -- Source Property Name: East Tower, Source Complete Address: Guanghua Road C12; Beijing; China",Ready For Review,T4480204,,,,,,C12 Guanghua Road,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,3
1,4480205,Test_building_bela,,"Building/Property Name contains ""test"" -- Source Property Name: Test_building_bela, Source Complete Address: 1 Lujiazui Ring Road; Shanghai; China",Ready For Review,T4480205,,,,,,1 Lujiazui Ring Road,Shanghai,,Shanghai,200120,China,CN,CHN,156,INVALID,3
1,4480206,Onward Science & Trade Centre Tower 4,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Onward Science & Trade Centre Tower 4, Source Complete Address: 2 Dongsanhuan Nanlu; Beijing; China|Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: , Source Complete Address: 北京; 中国",Ready For Review,T4480206,,,,,,2 Dongsanhuan Nanlu,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480207,China Overseas International Center Tower 1,,"Addr_Line_1 Not In Standard Format -- Source Property Name: China Overseas International Center Tower 1, Source Complete Address: Olympic Center South Area 4; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 中海国际中心1座, Source Complete Address: 奥体南区4号地; 北京; 中国",Ready For Review,T4480207,,,,,,Olympic Centre,Beijing,,Beijing,100020,China,CN,CHN,156,VALID,4
1,4480208,Xueyan Building,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Xueyan Building, Source Complete Address: 0 Shuangqing Road; Beijing; China|Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: 学研大厦, Source Complete Address: 北京; 中国",Ready For Review,T4480208,,,,,,0 Shuangqing Road,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480209,Golden Valley 5th,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Golden Valley 5th, Source Complete Address: Tairan Liu Road; Shenzhen; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 金谷5（雪松大厦）, Source Complete Address: 泰然六路; 深圳; 中国",Ready For Review,T4480209,,,,,,Tairan Liu Road,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
