url,city,district,bedroom,livingroom,kitchen,washroom,huxinjiegou,totalFloor,floorPosition,chaoxiang,zhuangxiuqingkuang,mianji,gongtanbili,Nianfen,diantishu,hushu,chanquannianxian,jiaoyiquanshu,fangwuyongtu,jianzhujiegou,fangwunianxian,chanquansuoshu,diyaxinxi,fangbenbeijian,jianzhuleixing,xqjj,xq_x_jj,unit_price
https://gz.ke.com/ershoufang/108400035261.html,Guangzhou,Fanyu,4,2,1,3,Flat,3,Low,S,Jing,163,0.15680208993322842,NA,1,1,70,SPF,PTZZ,GH,Greater5,GY,WDY,YSC,BL,73620,42651,73620
https://gz.ke.com/ershoufang/108400035369.html,Guangzhou,Fanyu,3,2,1,2,Flat,14,Mid,EN,Jing,118,0.1889830508474576,2006,2,3,70,SPF,PTZZ,GH,Greater5,FGY,WDY,YSC,TL,33466,33466,34746
https://gz.ke.com/ershoufang/108400035853.html,Guangzhou,Fanyu,3,2,1,2,Flat,11,Low,E,Jing,111.55,0.15024652622142531,2002,1,4,70,SPF,PTZZ,GH,Greater5,FGY,YDY,YSC,TL,25069,27380,27791
https://gz.ke.com/ershoufang/108400035900.html,Guangzhou,Fanyu,3,2,1,2,Flat,30,High,N,Jing,101,0.2176237623762377,2013,3,6,70,SPF,PTZZ,GH,Greater2,GY,YDY,YSC,TL,34846,32242,36139
https://gz.ke.com/ershoufang/108400036551.html,Guangzhou,Fanyu,4,2,1,2,Flat,7,High,N,Jing,172,0.14593023255813953,2006,1,4,70,SPF,PTZZ,GH,Greater5,FGY,WDY,YSC,TL,26681,35338,25e3
https://gz.ke.com/ershoufang/108400036704.html,Guangzhou,Fanyu,4,2,2,2,Flat,28,High,S,NA,173.7,0.19032815198618314,2006,2,2,70,SPF,PTZZ,GH,Greater2,GY,WDY,YSC,TL,42603,30898,42603
https://gz.ke.com/ershoufang/108400037304.html,Guangzhou,Fanyu,4,2,1,2,Flat,20,Low,S,Jian,146.47,0.17744247968867344,NA,1,4,70,SPF,PTZZ,GH,Greater2,FGY,YDY,YSC,TL,23193,26447,21165
https://gz.ke.com/ershoufang/108400038008.html,Guangzhou,Fanyu,5,2,1,4,Double,1,Mid,S,Jing,210.7,0,2003,1,1,70,SPF,BS,GH,Greater5,FGY,WDY,YSC,TL,67632,67632,71192
https://gz.ke.com/ershoufang/108400038051.html,Guangzhou,Fanyu,5,2,2,1,Flat,7,Mid,S,NA,138,0,1994,1,2,70,SPF,PTZZ,GH,Greater2,FGY,Unknown,YSC,TL,24595,24595,22464
https://gz.ke.com/ershoufang/108400038283.html,Guangzhou,Fanyu,3,2,1,2,Flat,10,Mid,N,NA,112.3,0.186286731967943,2005,1,4,70,SPF,PTZZ,GH,Greater5,FGY,Unknown,YSC,TL,30865,28972,30098
